,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI
38,2/6/1981,0.513393,0.515625,0.513393,0.513393,0.023007,3466400,0.5243304,0.540338,0.546773545,0.546043141,0.612145438,0.481401653,,,,4.893746537,-0.018286365,42.61052967
39,2/9/1981,0.491071,0.491071,0.486607,0.486607,0.021807,4188800,0.5154018,0.534438786,0.544338455,0.542843855,0.614551553,0.474125356,,,,1.777680213,-0.021677564,37.08505938
40,2/10/1981,0.486607,0.488839,0.486607,0.486607,0.021807,4586400,0.5069196,0.527742357,0.540584409,0.539841913,0.613987206,0.467181612,,,,2.646409797,-0.025397756,37.08505938
41,2/11/1981,0.473214,0.473214,0.470982,0.470982,0.021106,3460800,0.4986607,0.5194515,0.536323045,0.536195052,0.614576276,0.458069815,,,,1.65005135,-0.030105301,34.0940838
42,2/12/1981,0.46875,0.46875,0.466518,0.466518,0.020906,3640000,0.4919643,0.511001286,0.532771909,0.532532407,0.616352292,0.449191526,0.552998519,,,2.073031195,-0.035585538,33.26854676
43,2/13/1981,0.459821,0.459821,0.455357,0.455357,0.020406,2788800,0.4870536,0.502391571,0.528612,0.52850425,0.618148677,0.439075323,0.551303826,,,1.818436604,-0.040507654,31.23232331
44,2/17/1981,0.466518,0.46875,0.466518,0.466518,0.020906,3068800,0.4861608,0.494897929,0.524452091,0.525290549,0.61672237,0.432181812,0.549545761,,,3.721262002,-0.042138833,35.48476688
45,2/18/1981,0.486607,0.491071,0.486607,0.486607,0.021807,4810400,0.4854911,0.490114786,0.521408273,0.523297721,0.614070473,0.428746073,0.547810234,,,6.244285933,-0.040622109,42.39019355
46,2/19/1981,0.459821,0.459821,0.457589,0.457589,0.020506,5577600,0.4801339,0.484693857,0.5155235,0.519933056,0.607153868,0.423893132,0.54600431,,,3.677369083,-0.038761962,36.33954924
47,2/20/1981,0.435268,0.435268,0.433036,0.433036,0.019406,6092800,0.4723214,0.479591857,0.509334409,0.515508871,0.604112744,0.414556074,0.544066228,,,1.949804852,-0.039405872,32.15706427
